date,Apple stock_unscaled
2010-07-06,48
2010-07-07,31
2010-07-08,65
2010-07-09,45
2010-07-10,35
2010-07-11,40
2010-07-12,36
2010-07-13,58
2010-07-14,59
2010-07-15,65
2010-07-16,100
2010-07-17,48
2010-07-18,37
2010-07-19,76
2010-07-20,63
2010-07-21,61
2010-07-22,71
2010-07-23,47
2010-07-24,44
2010-07-25,30
2010-07-26,40
2010-07-27,66
2010-07-28,46
2010-07-29,43
2010-07-30,34
2010-07-31,33
2010-08-01,60
2010-08-02,100
2010-08-03,78
2010-08-04,79
2010-08-05,97
2010-08-06,58
2010-08-07,53
2010-08-08,45
2010-08-09,57
2010-08-10,77
2010-08-11,66
2010-08-12,89
2010-08-13,57
2010-08-14,75
2010-08-15,44
2010-08-16,54
2010-08-17,29
2010-08-18,45
2010-08-19,63
2010-08-20,40
2010-08-21,17
2010-08-22,39
2010-08-23,65
2010-08-24,96
2010-08-25,81
2010-08-26,83
2010-08-27,47
2010-08-28,85
2010-08-29,34
2010-08-30,60
2010-08-31,51
2010-09-01,79
2010-09-02,49
2010-09-03,39
2010-09-04,32
2010-09-05,17
2010-09-06,36
2010-09-07,54
2010-09-08,85
2010-09-09,53
2010-09-10,56
2010-09-11,11
2010-09-12,38
2010-09-13,52
2010-09-14,55
2010-09-15,70
2010-09-16,53
2010-09-17,95
2010-09-18,27
2010-09-19,31
2010-09-20,61
2010-09-21,55
2010-09-22,57
2010-09-23,98
2010-09-24,81
2010-09-25,58
2010-09-26,30
2010-09-27,100
2010-09-28,80
2010-09-29,73
2010-09-30,57
2010-10-01,26
2010-10-02,28
2010-10-03,15
2010-10-04,39
2010-10-05,39
2010-10-06,32
2010-10-07,34
2010-10-08,27
2010-10-09,22
2010-10-10,17
2010-10-11,20
2010-10-12,40
2010-10-13,38
2010-10-14,63
2010-10-15,73
2010-10-16,46
2010-10-17,27
2010-10-18,100
2010-10-19,95
2010-10-20,64
2010-10-21,43
2010-10-22,40
2010-10-23,29
2010-10-24,12
2010-10-25,43
2010-10-26,40
2010-10-27,35
2010-10-28,41
2010-10-29,32
2010-10-30,9
2010-10-31,14
2010-11-01,61
2010-11-02,68
2010-11-03,68
2010-11-04,99
2010-11-05,87
2010-11-06,43
2010-11-07,39
2010-11-08,54
2010-11-09,61
2010-11-10,99
2010-11-11,86
2010-11-12,77
2010-11-13,33
2010-11-14,22
2010-11-15,70
2010-11-16,100
2010-11-17,99
2010-11-18,90
2010-11-19,71
2010-11-20,35
2010-11-21,53
2010-11-22,59
2010-11-23,59
2010-11-24,53
2010-11-25,37
2010-11-26,61
2010-11-27,36
2010-11-28,48
2010-11-29,87
2010-11-30,63
2010-12-01,100
2010-12-02,71
2010-12-03,71
2010-12-04,54
2010-12-05,42
2010-12-06,67
2010-12-07,79
2010-12-08,71
2010-12-09,59
2010-12-10,82
2010-12-11,46
2010-12-12,54
2010-12-13,86
2010-12-14,42
2010-12-15,78
2010-12-16,67
2010-12-17,44
2010-12-18,52
2010-12-19,50
2010-12-20,69
2010-12-21,89
2010-12-22,84
2010-12-23,45
2010-12-24,47
2010-12-25,34
2010-12-26,58
2010-12-27,63
2010-12-28,68
2010-12-29,78
2010-12-30,47
2010-12-31,46
2011-01-01,9
2011-01-02,11
2011-01-03,13
2011-01-04,21
2011-01-05,13
2011-01-06,15
2011-01-07,20
2011-01-08,19
2011-01-09,15
2011-01-10,22
2011-01-11,41
2011-01-12,34
2011-01-13,28
2011-01-14,21
2011-01-15,13
2011-01-16,17
2011-01-17,70
2011-01-18,100
2011-01-19,62
2011-01-20,31
2011-01-21,22
2011-01-22,24
2011-01-23,19
2011-01-24,27
2011-01-25,28
2011-01-26,23
2011-01-27,26
2011-01-28,18
2011-01-29,13
2011-01-30,11
2011-01-31,17
2011-02-01,66
2011-02-02,60
2011-02-03,56
2011-02-04,66
2011-02-05,42
2011-02-06,37
2011-02-07,77
2011-02-08,64
2011-02-09,79
2011-02-10,93
2011-02-11,100
2011-02-12,44
2011-02-13,35
2011-02-14,49
2011-02-15,69
2011-02-16,83
2011-02-17,71
2011-02-18,81
2011-02-19,38
2011-02-20,28
2011-02-21,62
2011-02-22,92
2011-02-23,96
2011-02-24,63
2011-02-25,63
2011-02-26,39
2011-02-27,36
2011-02-28,48
2011-03-01,54
2011-03-02,88
2011-03-03,83
2011-03-04,64
2011-03-05,43
2011-03-06,26
2011-03-07,40
2011-03-08,50
2011-03-09,62
2011-03-10,69
2011-03-11,56
2011-03-12,100
2011-03-13,59
2011-03-14,83
2011-03-15,79
2011-03-16,71
2011-03-17,85
2011-03-18,62
2011-03-19,38
2011-03-20,41
2011-03-21,55
2011-03-22,52
2011-03-23,56
2011-03-24,62
2011-03-25,54
2011-03-26,31
2011-03-27,32
2011-03-28,51
2011-03-29,41
2011-03-30,50
2011-03-31,47
2011-04-01,39
2011-04-02,26
2011-04-03,26
2011-04-04,43
2011-04-05,50
2011-04-06,35
2011-04-07,58
2011-04-08,38
2011-04-09,32
2011-04-10,19
2011-04-11,45
2011-04-12,42
2011-04-13,33
2011-04-14,42
2011-04-15,40
2011-04-16,31
2011-04-17,9
2011-04-18,38
2011-04-19,50
2011-04-20,71
2011-04-21,100
2011-04-22,55
2011-04-23,26
2011-04-24,29
2011-04-25,44
2011-04-26,48
2011-04-27,50
2011-04-28,33
2011-04-29,34
2011-04-30,35
2011-05-01,62
2011-05-02,78
2011-05-03,70
2011-05-04,75
2011-05-05,100
2011-05-06,97
2011-05-07,26
2011-05-08,51
2011-05-09,98
2011-05-10,78
2011-05-11,79
2011-05-12,83
2011-05-13,94
2011-05-14,42
2011-05-15,39
2011-05-16,88
2011-05-17,73
2011-05-18,85
2011-05-19,99
2011-05-20,83
2011-05-21,57
2011-05-22,59
2011-05-23,73
2011-05-24,71
2011-05-25,73
2011-05-26,86
2011-05-27,67
2011-05-28,38
2011-05-29,47
2011-05-30,52
2011-05-31,42
2011-06-01,53
2011-06-02,49
2011-06-03,35
2011-06-04,30
2011-06-05,40
2011-06-06,87
2011-06-07,100
2011-06-08,67
2011-06-09,47
2011-06-10,51
2011-06-11,32
2011-06-12,35
2011-06-13,53
2011-06-14,31
2011-06-15,62
2011-06-16,49
2011-06-17,56
2011-06-18,33
2011-06-19,31
2011-06-20,63
2011-06-21,61
2011-06-22,50
2011-06-23,54
2011-06-24,53
2011-06-25,49
2011-06-26,21
2011-06-27,38
2011-06-28,46
2011-06-29,30
2011-06-30,50
2011-07-01,14
2011-07-02,14
2011-07-03,10
2011-07-04,13
2011-07-05,10
2011-07-06,17
2011-07-07,22
2011-07-08,23
2011-07-09,22
2011-07-10,9
2011-07-11,16
2011-07-12,20
2011-07-13,20
2011-07-14,22
2011-07-15,18
2011-07-16,15
2011-07-17,12
2011-07-18,25
2011-07-19,56
2011-07-20,100
2011-07-21,43
2011-07-22,50
2011-07-23,34
2011-07-24,21
2011-07-25,33
2011-07-26,44
2011-07-27,46
2011-07-28,36
2011-07-29,32
2011-07-30,27
2011-07-31,25
2011-08-01,8
2011-08-02,8
2011-08-03,8
2011-08-04,16
2011-08-05,14
2011-08-06,6
2011-08-07,4
2011-08-08,21
2011-08-09,24
2011-08-10,17
2011-08-11,18
2011-08-12,11
2011-08-13,7
2011-08-14,3
2011-08-15,7
2011-08-16,7
2011-08-17,4
2011-08-18,8
2011-08-19,9
2011-08-20,5
2011-08-21,4
2011-08-22,8
2011-08-23,6
2011-08-24,26
2011-08-25,100
2011-08-26,23
2011-08-27,10
2011-08-28,6
2011-08-29,6
2011-08-30,6
2011-08-31,7
2011-09-01,66
2011-09-02,47
2011-09-03,28
2011-09-04,36
2011-09-05,36
2011-09-06,60
2011-09-07,49
2011-09-08,45
2011-09-09,58
2011-09-10,33
2011-09-11,24
2011-09-12,38
2011-09-13,26
2011-09-14,44
2011-09-15,55
2011-09-16,41
2011-09-17,41
2011-09-18,19
2011-09-19,54
2011-09-20,100
2011-09-21,77
2011-09-22,79
2011-09-23,98
2011-09-24,34
2011-09-25,42
2011-09-26,50
2011-09-27,64
2011-09-28,58
2011-09-29,64
2011-09-30,82
2011-10-01,2
2011-10-02,2
2011-10-03,4
2011-10-04,22
2011-10-05,18
2011-10-06,100
2011-10-07,23
2011-10-08,8
2011-10-09,6
2011-10-10,8
2011-10-11,6
2011-10-12,7
2011-10-13,5
2011-10-14,9
2011-10-15,4
2011-10-16,3
2011-10-17,7
2011-10-18,8
2011-10-19,10
2011-10-20,6
2011-10-21,6
2011-10-22,3
2011-10-23,2
2011-10-24,5
2011-10-25,5
2011-10-26,3
2011-10-27,5
2011-10-28,4
2011-10-29,2
2011-10-30,2
2011-10-31,4
2011-11-01,79
2011-11-02,66
2011-11-03,86
2011-11-04,63
2011-11-05,53
2011-11-06,42
2011-11-07,92
2011-11-08,52
2011-11-09,65
2011-11-10,89
2011-11-11,74
2011-11-12,32
2011-11-13,42
2011-11-14,78
2011-11-15,100
2011-11-16,67
2011-11-17,55
2011-11-18,72
2011-11-19,33
2011-11-20,24
2011-11-21,61
2011-11-22,61
2011-11-23,50
2011-11-24,35
2011-11-25,52
2011-11-26,35
2011-11-27,41
2011-11-28,81
2011-11-29,63
2011-11-30,76
2011-12-01,100
2011-12-02,87
2011-12-03,39
2011-12-04,46
2011-12-05,57
2011-12-06,83
2011-12-07,74
2011-12-08,65
2011-12-09,78
2011-12-10,20
2011-12-11,46
2011-12-12,69
2011-12-13,70
2011-12-14,47
2011-12-15,50
2011-12-16,52
2011-12-17,46
2011-12-18,29
2011-12-19,73
2011-12-20,82
2011-12-21,70
2011-12-22,55
2011-12-23,64
2011-12-24,32
2011-12-25,49
2011-12-26,43
2011-12-27,70
2011-12-28,69
2011-12-29,82
2011-12-30,66
2011-12-31,48
2012-01-01,12
2012-01-02,11
2012-01-03,23
2012-01-04,21
2012-01-05,19
2012-01-06,26
2012-01-07,16
2012-01-08,11
2012-01-09,27
2012-01-10,26
2012-01-11,24
2012-01-12,20
2012-01-13,23
2012-01-14,17
2012-01-15,10
2012-01-16,11
2012-01-17,23
2012-01-18,20
2012-01-19,31
2012-01-20,24
2012-01-21,17
2012-01-22,9
2012-01-23,22
2012-01-24,60
2012-01-25,100
2012-01-26,60
2012-01-27,35
2012-01-28,21
2012-01-29,23
2012-01-30,36
2012-01-31,27
2012-02-01,47
2012-02-02,41
2012-02-03,58
2012-02-04,39
2012-02-05,22
2012-02-06,33
2012-02-07,39
2012-02-08,34
2012-02-09,70
2012-02-10,91
2012-02-11,29
2012-02-12,28
2012-02-13,80
2012-02-14,100
2012-02-15,96
2012-02-16,83
2012-02-17,61
2012-02-18,29
2012-02-19,35
2012-02-20,32
2012-02-21,53
2012-02-22,46
2012-02-23,60
2012-02-24,52
2012-02-25,32
2012-02-26,23
2012-02-27,41
2012-02-28,69
2012-02-29,74
2012-03-01,45
2012-03-02,37
2012-03-03,23
2012-03-04,11
2012-03-05,25
2012-03-06,35
2012-03-07,64
2012-03-08,36
2012-03-09,39
2012-03-10,17
2012-03-11,14
2012-03-12,30
2012-03-13,38
2012-03-14,51
2012-03-15,65
2012-03-16,70
2012-03-17,36
2012-03-18,29
2012-03-19,100
2012-03-20,74
2012-03-21,51
2012-03-22,45
2012-03-23,50
2012-03-24,28
2012-03-25,19
2012-03-26,34
2012-03-27,42
2012-03-28,35
2012-03-29,30
2012-03-30,36
2012-03-31,17
2012-04-01,20
2012-04-02,37
2012-04-03,53
2012-04-04,56
2012-04-05,41
2012-04-06,37
2012-04-07,16
2012-04-08,25
2012-04-09,31
2012-04-10,41
2012-04-11,46
2012-04-12,43
2012-04-13,46
2012-04-14,21
2012-04-15,19
2012-04-16,52
2012-04-17,66
2012-04-18,45
2012-04-19,47
2012-04-20,48
2012-04-21,29
2012-04-22,20
2012-04-23,47
2012-04-24,82
2012-04-25,100
2012-04-26,57
2012-04-27,43
2012-04-28,22
2012-04-29,18
2012-04-30,35
2012-05-01,63
2012-05-02,53
2012-05-03,61
2012-05-04,56
2012-05-05,24
2012-05-06,24
2012-05-07,51
2012-05-08,49
2012-05-09,43
2012-05-10,41
2012-05-11,48
2012-05-12,31
2012-05-13,20
2012-05-14,43
2012-05-15,51
2012-05-16,57
2012-05-17,70
2012-05-18,100
2012-05-19,35
2012-05-20,19
2012-05-21,56
2012-05-22,71
2012-05-23,55
2012-05-24,47
2012-05-25,49
2012-05-26,23
2012-05-27,21
2012-05-28,18
2012-05-29,41
2012-05-30,49
2012-05-31,42
2012-06-01,79
2012-06-02,48
2012-06-03,32
2012-06-04,70
2012-06-05,69
2012-06-06,56
2012-06-07,57
2012-06-08,69
2012-06-09,31
2012-06-10,42
2012-06-11,100
2012-06-12,89
2012-06-13,63
2012-06-14,54
2012-06-15,41
2012-06-16,36
2012-06-17,26
2012-06-18,54
2012-06-19,64
2012-06-20,55
2012-06-21,60
2012-06-22,57
2012-06-23,25
2012-06-24,24
2012-06-25,47
2012-06-26,49
2012-06-27,44
2012-06-28,36
2012-06-29,44
2012-06-30,27
2012-07-01,9
2012-07-02,37
2012-07-03,41
2012-07-04,22
2012-07-05,43
2012-07-06,47
2012-07-07,23
2012-07-08,24
2012-07-09,41
2012-07-10,40
2012-07-11,42
2012-07-12,28
2012-07-13,51
2012-07-14,27
2012-07-15,17
2012-07-16,38
2012-07-17,39
2012-07-18,32
2012-07-19,39
2012-07-20,35
2012-07-21,20
2012-07-22,18
2012-07-23,42
2012-07-24,73
2012-07-25,100
2012-07-26,59
2012-07-27,51
2012-07-28,34
2012-07-29,18
2012-07-30,34
2012-07-31,52
2012-08-01,47
2012-08-02,35
2012-08-03,36
2012-08-04,18
2012-08-05,19
2012-08-06,27
2012-08-07,37
2012-08-08,35
2012-08-09,24
2012-08-10,33
2012-08-11,17
2012-08-12,16
2012-08-13,33
2012-08-14,44
2012-08-15,30
2012-08-16,46
2012-08-17,61
2012-08-18,40
2012-08-19,24
2012-08-20,69
2012-08-21,100
2012-08-22,77
2012-08-23,49
2012-08-24,55
2012-08-25,72
2012-08-26,39
2012-08-27,82
2012-08-28,62
2012-08-29,48
2012-08-30,44
2012-08-31,42
2012-09-01,14
2012-09-02,14
2012-09-03,14
2012-09-04,24
2012-09-05,32
2012-09-06,37
2012-09-07,29
2012-09-08,19
2012-09-09,13
2012-09-10,32
2012-09-11,39
2012-09-12,100
2012-09-13,72
2012-09-14,72
2012-09-15,36
2012-09-16,18
2012-09-17,50
2012-09-18,70
2012-09-19,57
2012-09-20,50
2012-09-21,71
2012-09-22,50
2012-09-23,25
2012-09-24,66
2012-09-25,56
2012-09-26,49
2012-09-27,49
2012-09-28,47
2012-09-29,34
2012-09-30,20
2012-10-01,71
2012-10-02,76
2012-10-03,63
2012-10-04,69
2012-10-05,74
2012-10-06,40
2012-10-07,32
2012-10-08,72
2012-10-09,87
2012-10-10,76
2012-10-11,60
2012-10-12,59
2012-10-13,33
2012-10-14,31
2012-10-15,56
2012-10-16,57
2012-10-17,51
2012-10-18,63
2012-10-19,75
2012-10-20,43
2012-10-21,32
2012-10-22,49
2012-10-23,100
2012-10-24,99
2012-10-25,90
2012-10-26,96
2012-10-27,45
2012-10-28,26
2012-10-29,42
2012-10-30,41
2012-10-31,77
2012-11-01,56
2012-11-02,67
2012-11-03,42
2012-11-04,26
2012-11-05,55
2012-11-06,52
2012-11-07,75
2012-11-08,100
2012-11-09,81
2012-11-10,28
2012-11-11,27
2012-11-12,46
2012-11-13,53
2012-11-14,51
2012-11-15,61
2012-11-16,88
2012-11-17,30
2012-11-18,27
2012-11-19,70
2012-11-20,67
2012-11-21,53
2012-11-22,44
2012-11-23,43
2012-11-24,27
2012-11-25,21
2012-11-26,50
2012-11-27,64
2012-11-28,49
2012-11-29,58
2012-11-30,52
2012-12-01,22
2012-12-02,18
2012-12-03,40
2012-12-04,45
2012-12-05,75
2012-12-06,100
2012-12-07,66
2012-12-08,33
2012-12-09,22
2012-12-10,48
2012-12-11,49
2012-12-12,43
2012-12-13,38
2012-12-14,64
2012-12-15,44
2012-12-16,28
2012-12-17,58
2012-12-18,65
2012-12-19,52
2012-12-20,52
2012-12-21,48
2012-12-22,24
2012-12-23,20
2012-12-24,29
2012-12-25,18
2012-12-26,39
2012-12-27,48
2012-12-28,45
2012-12-29,24
2012-12-30,16
2012-12-31,36
2013-01-01,12
2013-01-02,23
2013-01-03,19
2013-01-04,21
2013-01-05,10
2013-01-06,7
2013-01-07,15
2013-01-08,16
2013-01-09,20
2013-01-10,18
2013-01-11,17
2013-01-12,10
2013-01-13,8
2013-01-14,29
2013-01-15,41
2013-01-16,33
2013-01-17,29
2013-01-18,22
2013-01-19,16
2013-01-20,12
2013-01-21,15
2013-01-22,23
2013-01-23,43
2013-01-24,100
2013-01-25,82
2013-01-26,40
2013-01-27,19
2013-01-28,37
2013-01-29,37
2013-01-30,39
2013-01-31,28
2013-02-01,100
2013-02-02,58
2013-02-03,28
2013-02-04,85
2013-02-05,82
2013-02-06,82
2013-02-07,89
2013-02-08,83
2013-02-09,42
2013-02-10,36
2013-02-11,72
2013-02-12,85
2013-02-13,97
2013-02-14,79
2013-02-15,62
2013-02-16,36
2013-02-17,27
2013-02-18,39
2013-02-19,74
2013-02-20,68
2013-02-21,79
2013-02-22,72
2013-02-23,40
2013-02-24,24
2013-02-25,56
2013-02-26,84
2013-02-27,100
2013-02-28,85
2013-03-01,63
2013-03-02,36
2013-03-03,25
2013-03-04,65
2013-03-05,100
2013-03-06,69
2013-03-07,58
2013-03-08,56
2013-03-09,36
2013-03-10,30
2013-03-11,48
2013-03-12,59
2013-03-13,56
2013-03-14,54
2013-03-15,65
2013-03-16,30
2013-03-17,21
2013-03-18,50
2013-03-19,49
2013-03-20,50
2013-03-21,51
2013-03-22,43
2013-03-23,29
2013-03-24,26
2013-03-25,51
2013-03-26,50
2013-03-27,45
2013-03-28,59
2013-03-29,31
2013-03-30,20
2013-03-31,16
2013-04-01,38
2013-04-02,46
2013-04-03,40
2013-04-04,34
2013-04-05,38
2013-04-06,16
2013-04-07,11
2013-04-08,32
2013-04-09,29
2013-04-10,36
2013-04-11,44
2013-04-12,35
2013-04-13,17
2013-04-14,9
2013-04-15,30
2013-04-16,30
2013-04-17,51
2013-04-18,72
2013-04-19,66
2013-04-20,30
2013-04-21,29
2013-04-22,55
2013-04-23,94
2013-04-24,100
2013-04-25,62
2013-04-26,49
2013-04-27,20
2013-04-28,16
2013-04-29,49
2013-04-30,55
2013-05-01,79
2013-05-02,75
2013-05-03,94
2013-05-04,41
2013-05-05,38
2013-05-06,92
2013-05-07,100
2013-05-08,74
2013-05-09,75
2013-05-10,71
2013-05-11,27
2013-05-12,34
2013-05-13,60
2013-05-14,78
2013-05-15,85
2013-05-16,78
2013-05-17,68
2013-05-18,26
2013-05-19,35
2013-05-20,59
2013-05-21,75
2013-05-22,67
2013-05-23,61
2013-05-24,49
2013-05-25,36
2013-05-26,21
2013-05-27,20
2013-05-28,55
2013-05-29,64
2013-05-30,60
2013-05-31,60
2013-06-01,15
2013-06-02,25
2013-06-03,53
2013-06-04,53
2013-06-05,58
2013-06-06,40
2013-06-07,54
2013-06-08,29
2013-06-09,23
2013-06-10,100
2013-06-11,82
2013-06-12,63
2013-06-13,50
2013-06-14,53
2013-06-15,28
2013-06-16,21
2013-06-17,34
2013-06-18,38
2013-06-19,47
2013-06-20,55
2013-06-21,50
2013-06-22,28
2013-06-23,23
2013-06-24,53
2013-06-25,53
2013-06-26,60
2013-06-27,70
2013-06-28,65
2013-06-29,35
2013-06-30,21
2013-07-01,51
2013-07-02,46
2013-07-03,45
2013-07-04,28
2013-07-05,41
2013-07-06,27
2013-07-07,16
2013-07-08,47
2013-07-09,52
2013-07-10,64
2013-07-11,59
2013-07-12,49
2013-07-13,26
2013-07-14,13
2013-07-15,40
2013-07-16,48
2013-07-17,36
2013-07-18,50
2013-07-19,46
2013-07-20,29
2013-07-21,23
2013-07-22,39
2013-07-23,95
2013-07-24,100
2013-07-25,67
2013-07-26,63
2013-07-27,25
2013-07-28,22
2013-07-29,52
2013-07-30,53
2013-07-31,63
2013-08-01,40
2013-08-02,41
2013-08-03,27
2013-08-04,21
2013-08-05,45
2013-08-06,37
2013-08-07,37
2013-08-08,34
2013-08-09,32
2013-08-10,17
2013-08-11,11
2013-08-12,39
2013-08-13,57
2013-08-14,100
2013-08-15,60
2013-08-16,72
2013-08-17,26
2013-08-18,22
2013-08-19,48
2013-08-20,49
2013-08-21,44
2013-08-22,42
2013-08-23,31
2013-08-24,24
2013-08-25,16
2013-08-26,40
2013-08-27,48
2013-08-28,33
2013-08-29,36
2013-08-30,45
2013-08-31,17
2013-09-01,6
2013-09-02,10
2013-09-03,20
2013-09-04,22
2013-09-05,25
2013-09-06,26
2013-09-07,13
2013-09-08,10
2013-09-09,26
2013-09-10,85
2013-09-11,100
2013-09-12,53
2013-09-13,47
2013-09-14,20
2013-09-15,14
2013-09-16,37
2013-09-17,39
2013-09-18,39
2013-09-19,44
2013-09-20,50
2013-09-21,33
2013-09-22,17
2013-09-23,47
2013-09-24,58
2013-09-25,43
2013-09-26,33
2013-09-27,34
2013-09-28,16
2013-09-29,11
2013-09-30,26
2013-10-01,62
2013-10-02,56
2013-10-03,51
2013-10-04,63
2013-10-05,23
2013-10-06,24
2013-10-07,41
2013-10-08,50
2013-10-09,57
2013-10-10,49
2013-10-11,45
2013-10-12,24
2013-10-13,21
2013-10-14,39
2013-10-15,48
2013-10-16,56
2013-10-17,59
2013-10-18,63
2013-10-19,28
2013-10-20,20
2013-10-21,62
2013-10-22,100
2013-10-23,78
2013-10-24,67
2013-10-25,69
2013-10-26,31
2013-10-27,21
2013-10-28,69
2013-10-29,89
2013-10-30,62
2013-10-31,47
2013-11-01,100
2013-11-02,51
